Function,Category,Subcategory,Assessment Findings,Testing Results & Rationale
IDENTITY (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-4: Potential business impacts and likelihoods are identified,,
IDENTITY (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",,
IDENTITY (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-6: Risk responses are identified and prioritized,,
IDENTITY (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.","ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders",,
IDENTITY (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID.RM-2: Organizational risk tolerance is determined and clearly expressed,,
IDENTITY (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,,
IDENTITY (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","ID.SC-1: Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",,
IDENTITY (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",,
IDENTITY (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,,
IDENTITY (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","ID.SC-4: Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.",,
IDENTITY (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-5: Response and recovery planning and testing are conducted with suppliers and third-party providers,,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-2: Physical access to assets is managed and protected,,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-3: Remote access is managed,,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions,,
PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",,
PROTECT (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-1: All users are informed and trained ,,
PROTECT (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-2: Privileged users understand their roles and responsibilities ,,
PROTECT (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",,
PROTECT (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-4: Senior executives understand their roles and responsibilities ,,
PROTECT (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-5: Physical and cybersecurity personnel understand their roles and responsibilities ,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1: Data-at-rest is protected,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-2: Data-in-transit is protected,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition",,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-4: Adequate capacity to ensure availability is maintained,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-5: Protections against data leaks are implemented,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-7: The development and testing environment(s) are separate from the production environment,,
PROTECT (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-2: A System Development Life Cycle to manage systems is implemented,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-3: Configuration change control processes are in place,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-4: Backups of information are conducted, maintained, and tested ",,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-6: Data is destroyed according to policy,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-7: Protection processes are improved,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-8: Effectiveness of protection technologies is shared ,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-10: Response and recovery plans are tested,,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",,
PROTECT (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-12: A vulnerability management plan is developed and implemented,,
PROTECT (PR),Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",,
PROTECT (PR),Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",,
PROTECT (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",,
PROTECT (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-2: Removable media is protected and its use restricted according to policy,,
PROTECT (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,,
PROTECT (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-4: Communications and control networks are protected,,
PROTECT (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",,
DETECT (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed,,
DETECT (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-2: Detected events are analyzed to understand attack targets and methods,,
DETECT (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-3: Event data are collected and correlated from multiple sources and sensors,,
DETECT (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-4: Impact of events is determined,,
DETECT (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-5: Incident alert thresholds are established,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-1: The network is monitored to detect potential cybersecurity events,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-4: Malicious code is detected,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-5: Unauthorized mobile code is detected,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events,,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed",,
DETECT (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-8: Vulnerability scans are performed,,
DETECT (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-1: Roles and responsibilities for detection are well defined to ensure accountability,,
DETECT (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-2: Detection activities comply with all applicable requirements,,
DETECT (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-3: Detection processes are tested,,
DETECT (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-4: Event detection information is communicated,,
DETECT (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-5: Detection processes are continuously improved,,
RESPOND (RS),"Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",RS.RP-1: Response plan is executed during or after an incident,,
RESPOND (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-1: Personnel know their roles and order of operations when a response is needed,,
RESPOND (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-2: Incidents are reported consistent with established criteria,,
RESPOND (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-3: Information is shared consistent with response plans,,
RESPOND (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-4: Coordination with stakeholders occurs consistent with response plans,,
RESPOND (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,,
RESPOND (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-1: Notifications from detection systems are investigated ,,
RESPOND (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-2: The impact of the incident is understood,,
RESPOND (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-3: Forensics are performed,,
RESPOND (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-4: Incidents are categorized consistent with response plans,,
RESPOND (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,"RS.AN-5: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",,
RESPOND (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-1: Incidents are contained,,
RESPOND (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-2: Incidents are mitigated,,
RESPOND (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks,,
RESPOND (RS),Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1: Response plans incorporate lessons learned,,
RESPOND (RS),Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-2: Response strategies are updated,,
RECOVER (RC),Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,RC.RP-1: Recovery plan is executed during or after a cybersecurity incident ,,
RECOVER (RC),Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1: Recovery plans incorporate lessons learned,,
RECOVER (RC),Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-2: Recovery strategies are updated,,
RECOVER (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-1: Public relations are managed,,
RECOVER (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-2: Reputation is repaired after an incident ,,
RECOVER (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-3: Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,,
